image_name,inference_values
040361.jpg,"(341.648681640625,558.2613525390625,421.2158203125,801.2147216796875 , 0.8061730861663818) | (611.47314453125,585.2637939453125,727.0528564453125,771.072509765625 , 0.7486502528190613) | (264.32958984375,546.3175048828125,348.63330078125,801.7615966796875 , 0.7397793531417847) | (190.43829345703125,536.6773681640625,274.995849609375,759.4989013671875 , 0.6555888652801514) | (132.12083435058594,546.390380859375,211.7454071044922,742.900390625 , 0.6435297131538391) | (613.2420043945312,132.71310424804688,672.9032592773438,296.8963928222656 , 0.5185737013816833)"
040367.jpg,"(30.089004516601562,792.4705810546875,142.88925170898438,991.3746337890625 , 0.7511998414993286) | (722.5494384765625,69.99441528320312,780.9281005859375,244.98068237304688 , 0.7167647480964661) | (657.056884765625,57.22747802734375,709.96484375,231.89547729492188 , 0.6005745530128479)"
040395.jpg,"(171.89968872070312,347.5,251.00057983398438,567.2110595703125 , 0.8469197750091553)"
040399.jpg,"(208.7608642578125,679.6885986328125,303.46600341796875,923.6802978515625 , 0.8974449038505554) | (653.593994140625,497.8844909667969,748.90185546875,681.170166015625 , 0.840234100818634)"
040410.jpg,"(259.08966064453125,893.2906494140625,409.30291748046875,1023.5975341796875 , 0.8132545351982117) | (421.724365234375,203.36148071289062,476.70257568359375,424.1357727050781 , 0.7890403270721436) | (263.8114929199219,468.383544921875,333.0932922363281,728.79541015625 , 0.7748968005180359) | (347.52667236328125,206.30105590820312,402.38604736328125,414.3553161621094 , 0.7448505759239197) | (138.7381591796875,523.998291015625,205.14569091796875,742.153076171875 , 0.6355800032615662) | (190.86709594726562,535.98828125,264.0893249511719,733.510009765625 , 0.6144023537635803)"
040418.jpg,"(284.09307861328125,333.76715087890625,390.8602294921875,580.8882446289062 , 0.8775416016578674) | (487.7840576171875,680.7117919921875,601.405517578125,892.4130859375 , 0.749686598777771) | (764.5494384765625,6.571502685546875,829.9429931640625,208.02093505859375 , 0.7337560057640076) | (0.32608795166015625,921.5201416015625,70.79802703857422,1023.401123046875 , 0.4942673146724701)"
040444.jpg,"(868.2111206054688,299.54205322265625,959.4974975585938,507.36578369140625 , 0.8320743441581726) | (530.090576171875,399.5423583984375,612.515869140625,616.0106201171875 , 0.7825262546539307) | (947.3411254882812,228.69952392578125,1011.6885375976562,438.8116455078125 , 0.7066200375556946) | (426.321044921875,308.61761474609375,451.269287109375,509.22723388671875 , 0.44004398584365845)"
040448.jpg,"(1004.2714233398438,167.1761016845703,1078.115234375,375.79168701171875 , 0.8711172342300415) | (392.60052490234375,705.021240234375,491.60443115234375,912.814697265625 , 0.819549024105072) | (427.12152099609375,278.74560546875,480.12530517578125,474.7801513671875 , 0.7067838311195374)"
040451.jpg,"(1110.087646484375,72.63114166259766,1173.463134765625,262.7289733886719 , 0.840446949005127) | (724.8770751953125,137.39767456054688,792.8782958984375,331.981689453125 , 0.7904030680656433) | (1056.92626953125,161.1400146484375,1121.62646484375,331.05291748046875 , 0.7658954858779907) | (165.9432373046875,809.55615234375,301.64752197265625,1020.779052734375 , 0.577251136302948) | (612.4028930664062,171.41677856445312,633.8829956054688,321.78692626953125 , 0.28246834874153137)"
050012.jpg,"(546.8077392578125,314.90594482421875,611.4832763671875,496.49884033203125 , 0.7414754033088684) | (492.7682189941406,299.65484619140625,568.5457763671875,493.12786865234375 , 0.4741199314594269) | (451.24237060546875,348.77081298828125,569.0009765625,556.1522827148438 , 0.4502185881137848)"
050038.jpg,"(611.74365234375,232.338134765625,732.016845703125,490.35711669921875 , 0.781886100769043) | (101.32626342773438,349.305908203125,228.08306884765625,585.6796264648438 , 0.6935942769050598) | (232.6959228515625,511.0921630859375,339.91119384765625,778.0419921875 , 0.6637833714485168) | (864.567626953125,437.5399475097656,1000.35546875,683.4864501953125 , 0.29475638270378113)"
050042.jpg,"(241.5533447265625,485.3686828613281,342.567626953125,778.55322265625 , 0.8478277921676636) | (747.4070434570312,77.9617919921875,874.5850219726562,366.46270751953125 , 0.811281681060791) | (616.6895751953125,238.07208251953125,733.0496826171875,489.85595703125 , 0.7073813676834106)"
050060.jpg,"(1039.164794921875,133.27020263671875,1115.884521484375,370.14385986328125 , 0.8468676209449768) | (1195.531982421875,80.26992797851562,1279.162353515625,313.2164001464844 , 0.839411199092865) | (285.26177978515625,323.41204833984375,368.39971923828125,567.0261840820312 , 0.7829080820083618) | (370.62713623046875,176.37405395507812,506.08819580078125,440.1382751464844 , 0.6799989938735962) | (396.37353515625,20.797821044921875,470.2139892578125,219.50335693359375 , 0.6295779943466187)"
050061.jpg,"(898.6383056640625,111.1103515625,994.2872314453125,370.418212890625 , 0.861735999584198) | (423.85272216796875,93.05536651611328,520.780517578125,346.87347412109375 , 0.7233580350875854)"
050092.jpg,"(532.1805419921875,410.936767578125,705.0211181640625,663.6171875 , 0.8426051139831543) | (956.0,210.65113830566406,1054.968505859375,460.7064208984375 , 0.8157331943511963) | (90.79246520996094,77.20452880859375,195.03456115722656,270.31573486328125 , 0.7806683778762817) | (1257.111328125,3.73309326171875,1279.43701171875,226.23056030273438 , 0.5920091271400452) | (803.0281982421875,501.63507080078125,937.10888671875,730.0514526367188 , 0.456560343503952) | (804.57373046875,501.1178283691406,923.446533203125,619.9962158203125 , 0.2927471101284027)"
050095.jpg,"(593.4570922851562,195.1312255859375,708.5337524414062,443.50933837890625 , 0.8176884651184082) | (0.0,924.3201904296875,93.86872863769531,1023.4315185546875 , 0.5835117697715759) | (1048.7183837890625,196.5211181640625,1126.3465576171875,359.36883544921875 , 0.5616462826728821) | (733.7216796875,460.8375244140625,871.502685546875,624.446533203125 , 0.41124260425567627) | (1003.3026123046875,173.62625122070312,1078.2830810546875,400.7159118652344 , 0.3809506595134735) | (6.3681640625,295.2813720703125,145.570556640625,514.9537353515625 , 0.3746975064277649) | (8.001544952392578,295.19500732421875,135.7965850830078,438.9908447265625 , 0.3454896807670593)"
050096.jpg,"(289.48980712890625,118.11334228515625,389.18377685546875,385.19769287109375 , 0.8895739912986755) | (624.0994873046875,197.5975799560547,744.9862060546875,437.42254638671875 , 0.852860689163208) | (948.4469604492188,485.30877685546875,1103.636474609375,732.9280395507812 , 0.7798707485198975) | (1086.739013671875,162.97207641601562,1160.734619140625,346.9370422363281 , 0.5152330994606018) | (1120.740478515625,192.1138916015625,1214.998046875,357.57830810546875 , 0.47591930627822876) | (1055.6778564453125,162.48068237304688,1159.8050537109375,365.1123352050781 , 0.2670787274837494)"
050115.jpg,"(547.6600341796875,0.302459716796875,673.3665771484375,190.75567626953125 , 0.8739171028137207) | (1161.017333984375,193.32618713378906,1279.44287109375,392.517333984375 , 0.8111338019371033) | (499.7164611816406,522.3048095703125,620.7596435546875,760.1712646484375 , 0.7743646502494812) | (1002.7012939453125,0.2697296142578125,1104.8262939453125,228.24118041992188 , 0.7615002989768982) | (1054.4659423828125,544.3213500976562,1170.6427001953125,754.5953979492188 , 0.7173819541931152) | (754.951904296875,694.922607421875,866.927001953125,918.500732421875 , 0.5395755171775818) | (679.1450805664062,670.6952514648438,809.2079467773438,900.0848999023438 , 0.4039297103881836)"
050120.jpg,"(604.9801635742188,32.635650634765625,686.0319213867188,242.01046752929688 , 0.8902670741081238) | (782.9515991210938,139.80128479003906,886.8056030273438,390.9952392578125 , 0.8345165848731995)"
050163.jpg,"(316.2257080078125,224.6241455078125,462.5791015625,485.538818359375 , 0.8185733556747437) | (793.895751953125,0.2180938720703125,930.462158203125,75.19071960449219 , 0.7128689885139465) | (401.77130126953125,153.64459228515625,499.84454345703125,351.1962890625 , 0.36378535628318787)"
050178.jpg,"(36.75171661376953,399.5783996582031,127.23133087158203,669.66650390625 , 0.8922238945960999) | (612.704345703125,0.3548736572265625,688.24365234375,214.0023651123047 , 0.8429752588272095) | (754.4049682617188,190.97048950195312,882.4357299804688,395.0149230957031 , 0.8166793584823608)"
050195.jpg,"(569.4302978515625,17.004196166992188,645.7965087890625,219.94012451171875 , 0.8342203497886658) | (123.13524627685547,249.50433349609375,255.62152099609375,475.3193359375 , 0.5414087176322937) | (206.0032196044922,187.7641143798828,319.58551025390625,332.48846435546875 , 0.37213703989982605)"
050220.jpg,"(216.67271423339844,120.77667236328125,361.5238037109375,378.24530029296875 , 0.8807995319366455)"
050222.jpg,"(560.06884765625,615.0859375,715.6614990234375,854.8330078125 , 0.8575797080993652) | (232.98614501953125,576.89111328125,367.1866455078125,792.7452392578125 , 0.8265784978866577)"
050232.jpg,"(875.7255859375,443.09716796875,996.323974609375,590.21728515625 , 0.3465745449066162)"
050299.jpg,"(37.380523681640625,394.8489990234375,127.27093505859375,669.8653564453125 , 0.8497594594955444) | (984.074462890625,33.417755126953125,1076.139892578125,278.6181335449219 , 0.7936139106750488) | (0.11475372314453125,334.8623046875,82.94927978515625,567.0377197265625 , 0.4090386927127838)"
050312.jpg,"(341.87078857421875,243.03656005859375,443.23516845703125,507.74371337890625 , 0.4668474793434143)"
050318.jpg,"(713.33251953125,253.5382080078125,825.866455078125,471.87713623046875 , 0.8096296787261963)"
050332.jpg,"(473.0009460449219,11.659393310546875,561.225341796875,274.27239990234375 , 0.8731430768966675) | (189.151611328125,315.83807373046875,315.1866149902344,516.8841552734375 , 0.7661684155464172)"
050371.jpg,"(529.4488525390625,481.36834716796875,637.4246826171875,674.6473999023438 , 0.7616329789161682) | (248.45187377929688,326.08953857421875,390.8826599121094,533.4321899414062 , 0.4453568458557129) | (248.6139373779297,323.61053466796875,421.51080322265625,569.8291015625 , 0.2512650787830353)"
050390.jpg,"(208.26632690429688,13.418121337890625,288.69110107421875,242.3408203125 , 0.8415143489837646) | (748.11572265625,418.360107421875,830.535400390625,662.2598876953125 , 0.6668046116828918) | (395.716796875,499.0708312988281,504.0096435546875,708.31640625 , 0.43655070662498474) | (313.5426330566406,494.31103515625,454.9021301269531,684.6771240234375 , 0.3717249929904938)"
050395.jpg,"(492.3900146484375,0.0959625244140625,575.3856201171875,187.8251953125 , 0.8531602621078491) | (1042.922607421875,226.0323486328125,1127.828857421875,467.72076416015625 , 0.7977309226989746) | (702.16943359375,197.62240600585938,810.01708984375,403.0740661621094 , 0.7294374704360962) | (1180.46923828125,163.61343383789062,1269.625,421.8495788574219 , 0.6667428612709045)"
050399.jpg,"(1196.716796875,149.14593505859375,1279.44091796875,385.059814453125 , 0.8524805307388306) | (219.318115234375,29.823272705078125,309.305419921875,241.7276611328125 , 0.8140026330947876) | (616.205322265625,392.90716552734375,700.8955078125,592.75341796875 , 0.7678704261779785) | (55.66046142578125,388.08642578125,192.0159454345703,582.753173828125 , 0.42589470744132996) | (0.2835693359375,379.40313720703125,112.91627502441406,561.95361328125 , 0.2768096327781677)"
050406.jpg,"(135.96182250976562,29.3394775390625,217.54727172851562,269.3013916015625 , 0.8921903371810913) | (936.53955078125,337.1927490234375,1037.064697265625,549.2503662109375 , 0.7561001777648926) | (823.9534912109375,326.62890625,956.6934814453125,557.9512329101562 , 0.6021066904067993)"
050411.jpg,"(180.44464111328125,28.608245849609375,270.71734619140625,284.20306396484375 , 0.875481128692627) | (73.0948486328125,279.54229736328125,193.49285888671875,471.37371826171875 , 0.7480409741401672)"
050412.jpg,"(830.2132568359375,9.144241333007812,913.7813720703125,231.34945678710938 , 0.661263644695282)"
050415.jpg,"(802.865234375,251.69590759277344,940.6617431640625,473.77099609375 , 0.7523958683013916)"
050422.jpg,"(2.2613677978515625,395.8687438964844,161.8137664794922,660.9908447265625 , 0.8614314198493958) | (584.506103515625,16.178298950195312,653.9720458984375,198.47683715820312 , 0.8529935479164124) | (676.2005615234375,465.13812255859375,797.6058349609375,662.2726440429688 , 0.7683489322662354) | (191.22213745117188,39.440093994140625,268.1584777832031,260.0280456542969 , 0.7294019460678101) | (242.40390014648438,13.423751831054688,326.9209899902344,246.67127990722656 , 0.46342137455940247) | (242.392822265625,15.569793701171875,326.8447265625,176.74050903320312 , 0.38509076833724976)"
050427.jpg,"(254.33599853515625,173.90809631347656,376.3487548828125,380.3521728515625 , 0.6952236890792847) | (874.796875,573.091064453125,1059.8544921875,777.613525390625 , 0.34610021114349365)"
060006.jpg,"(812.6854858398438,794.420166015625,924.3600463867188,1022.9580078125 , 0.841884434223175) | (570.595458984375,662.3272705078125,644.07275390625,898.7467041015625 , 0.8348757028579712) | (655.41650390625,789.1212158203125,757.159423828125,1021.1033935546875 , 0.8126088976860046) | (409.420166015625,483.2094421386719,474.8651123046875,690.05859375 , 0.7376305460929871) | (364.1839599609375,491.6431884765625,426.57879638671875,688.4827880859375 , 0.5927857160568237)"
060026.jpg,"(832.4631958007812,648.8892211914062,938.6964721679688,909.1472778320312 , 0.880730926990509) | (650.1744384765625,867.016845703125,782.0635986328125,1023.392822265625 , 0.6081664562225342) | (907.7469482421875,512.257568359375,976.24658203125,708.24951171875 , 0.5018879175186157) | (804.350830078125,524.570068359375,900.3643798828125,854.226318359375 , 0.4859433174133301)"
060048.jpg,"(1168.29150390625,533.4913330078125,1227.9873046875,765.0496826171875 , 0.8264589309692383)"
060062.jpg,"(996.9857177734375,581.1744995117188,1126.2510986328125,751.9201049804688 , 0.8732790946960449) | (371.58062744140625,465.8424377441406,440.18597412109375,692.7391357421875 , 0.7478227019309998) | (714.6165771484375,589.700439453125,776.9549560546875,809.775146484375 , 0.7348503470420837) | (642.7515869140625,592.08349609375,724.9754638671875,819.755615234375 , 0.7302731275558472)"
060064.jpg,"(485.34393310546875,899.4739990234375,564.0900268554688,1023.9129638671875 , 0.8724443316459656) | (342.1834716796875,879.9697265625,471.936279296875,1023.6162109375 , 0.8635258674621582) | (1087.1651611328125,466.2215576171875,1188.0213623046875,705.103759765625 , 0.7848843932151794) | (477.64739990234375,538.0400390625,558.0518188476562,768.64013671875 , 0.7382141947746277) | (618.203857421875,485.180908203125,709.48974609375,691.6490478515625 , 0.5378237366676331)"
060071.jpg,"(638.4476318359375,788.3239135742188,765.0843505859375,1022.4949340820312 , 0.8445087671279907) | (523.2086791992188,850.238525390625,646.4568481445312,1023.740478515625 , 0.8443444967269897) | (957.092529296875,760.3876342773438,1029.3067626953125,1022.3805541992188 , 0.8108916878700256) | (1175.7164306640625,421.661376953125,1260.8741455078125,636.417724609375 , 0.6995993852615356)"
060091.jpg,"(256.314697265625,441.128173828125,331.06695556640625,650.00341796875 , 0.7076509594917297) | (327.44342041015625,795.2291259765625,465.37408447265625,994.0067138671875 , 0.6298957467079163)"
060122.jpg,"(958.28662109375,760.735107421875,1029.3466796875,1022.3896484375 , 0.8282700181007385) | (260.331298828125,788.85400390625,381.53515625,1021.8974609375 , 0.7989314794540405) | (669.2186279296875,789.46435546875,772.3187255859375,1016.467529296875 , 0.7812735438346863) | (1169.14794921875,422.7767028808594,1259.29638671875,637.2022705078125 , 0.777468204498291)"
060179.jpg,"(1189.079345703125,883.1572265625,1258.791748046875,1023.44970703125 , 0.8485187292098999) | (1061.90625,881.35986328125,1195.68994140625,1023.115234375 , 0.8483982682228088) | (450.7552490234375,515.13623046875,542.4033813476562,757.4287109375 , 0.8433308005332947) | (1150.10498046875,447.16827392578125,1228.84326171875,645.3908081054688 , 0.8050574064254761) | (510.27801513671875,775.8172607421875,605.3041381835938,1012.27197265625 , 0.7723903656005859) | (1231.85205078125,530.9488525390625,1279.45458984375,659.4649658203125 , 0.41439762711524963)"
060182.jpg,"(20.190601348876953,380.3118896484375,114.01686096191406,591.3240356445312 , 0.5148349404335022)"
060193.jpg,"(392.37994384765625,487.6136474609375,496.54656982421875,708.118896484375 , 0.8581690192222595) | (126.54988098144531,400.93206787109375,221.9140167236328,621.5465087890625 , 0.8187861442565918) | (445.62738037109375,454.5517272949219,514.6342163085938,668.346435546875 , 0.4725955128669739) | (1223.7490234375,677.0789794921875,1264.64892578125,800.8929443359375 , 0.25030454993247986)"
060219.jpg,"(1027.7325439453125,720.8887939453125,1102.1727294921875,967.5699462890625 , 0.8194712996482849) | (1171.19873046875,557.0888671875,1261.4580078125,785.942138671875 , 0.8155537247657776) | (1070.059814453125,451.1799011230469,1149.461669921875,656.110595703125 , 0.737342119216919)"
060230.jpg,"(418.816162109375,491.73773193359375,506.5113525390625,733.4640502929688 , 0.8355770111083984) | (703.230224609375,573.64208984375,788.3671875,804.65576171875 , 0.8044596314430237) | (761.9038696289062,617.0477294921875,835.8818969726562,862.3031005859375 , 0.576000988483429) | (646.6138305664062,531.05126953125,738.3805541992188,760.7119140625 , 0.3964417576789856)"
060247.jpg,"(325.6678466796875,842.06640625,453.9366455078125,1023.3084716796875 , 0.8807315826416016) | (1042.4383544921875,495.814453125,1147.1761474609375,670.668212890625 , 0.8056772351264954) | (206.96133422851562,439.771240234375,291.9974670410156,624.71533203125 , 0.7169428467750549) | (1182.84912109375,651.7801513671875,1265.09033203125,800.4088134765625 , 0.2927979528903961)"
060283.jpg,"(938.2613525390625,599.207275390625,1039.3162841796875,828.605224609375 , 0.5864225625991821)"
060284.jpg,"(483.2012023925781,843.68310546875,579.9033203125,1023.600830078125 , 0.8793155550956726) | (823.25830078125,790.25732421875,904.499755859375,1024.0 , 0.772409200668335) | (880.7263793945312,822.03076171875,949.4100952148438,1023.68701171875 , 0.6747947335243225)"
060286.jpg,"(1197.10205078125,818.2340087890625,1273.4619140625,1023.4605712890625 , 0.844979465007782)"
060306.jpg,"(782.2213134765625,565.3582763671875,903.5142822265625,801.2830810546875 , 0.7949212789535522)"
060328.jpg,"(910.7880859375,771.8385009765625,989.80712890625,1022.376220703125 , 0.8028010129928589) | (980.6409912109375,829.078125,1086.5025634765625,1023.853271484375 , 0.7826268076896667) | (981.3607177734375,790.7713623046875,1110.9154052734375,873.4615478515625 , 0.4962409436702728) | (178.13973999023438,355.4354248046875,294.7572937011719,575.040771484375 , 0.4214095175266266)"
060331.jpg,"(1048.6009521484375,593.7445678710938,1159.4810791015625,820.3995971679688 , 0.7724108099937439) | (963.34423828125,604.018798828125,1046.2098388671875,825.356689453125 , 0.7431469559669495) | (649.0188598632812,579.6455078125,753.0494995117188,796.8251953125 , 0.47494953870773315) | (657.6044921875,967.0287475585938,750.2479248046875,1023.6780395507812 , 0.264208048582077)"
060382.jpg,"(1083.126708984375,843.94580078125,1234.921630859375,1023.6644287109375 , 0.8558132648468018)"
060413.jpg,"(933.12548828125,564.62890625,1075.4149169921875,777.71728515625 , 0.85286545753479) | (572.4329833984375,662.7044677734375,646.0631103515625,898.6739501953125 , 0.8486874103546143) | (831.5652465820312,797.9891967773438,949.1392211914062,1020.1306762695312 , 0.8460385799407959) | (657.6654052734375,787.0740356445312,755.6551513671875,1002.0541381835938 , 0.8232552409172058) | (818.935546875,536.630859375,921.037841796875,737.707763671875 , 0.7988791465759277)"
060426.jpg,"(611.4635620117188,517.8515625,712.8445434570312,712.126220703125 , 0.7184412479400635)"
060428.jpg,"(1200.2266845703125,373.019775390625,1279.4844970703125,597.01220703125 , 0.866888165473938)"
060430.jpg,"(876.513671875,756.6004638671875,972.604736328125,1003.1439208984375 , 0.8700563311576843) | (988.2855224609375,538.5421752929688,1113.9139404296875,780.8023071289062 , 0.8534184098243713) | (782.8187255859375,694.9672241210938,855.6051025390625,947.1527709960938 , 0.7810444235801697)"
060436.jpg,"(1185.0478515625,637.01953125,1279.5673828125,806.9493408203125 , 0.8053640127182007) | (1123.9730224609375,560.66650390625,1191.7249755859375,747.947998046875 , 0.6959913372993469) | (999.6884765625,546.639892578125,1089.84765625,774.87451171875 , 0.5427953600883484)"
060475.jpg,"(474.2861022949219,425.2530517578125,570.97216796875,658.44384765625 , 0.7876428961753845)"
060487.jpg,"(168.33355712890625,346.62249755859375,270.2291259765625,572.4783325195312 , 0.6412485241889954) | (232.80001831054688,358.3953857421875,303.7934875488281,551.978271484375 , 0.5225591063499451)"
060489.jpg,"(1196.802734375,378.1094970703125,1279.438232421875,596.86962890625 , 0.3774416148662567)"
060515.jpg,"(1177.79541015625,836.4373779296875,1267.058349609375,1023.4261474609375 , 0.850327730178833) | (1107.12841796875,539.8658447265625,1270.9580078125,711.06787109375 , 0.43297597765922546)"
070014.jpg,"(611.9407348632812,783.3353881835938,722.8215942382812,1018.7583618164062 , 0.6992091536521912) | (615.86328125,839.379638671875,698.005859375,997.211181640625 , 0.5160214900970459)"
070019.jpg,"(380.0686340332031,449.82794189453125,442.2153015136719,561.7557983398438 , 0.7070054411888123) | (467.09820556640625,468.3135070800781,520.8008422851562,677.813720703125 , 0.5838524103164673)"
070034.jpg,"(721.5894775390625,737.752197265625,806.5350341796875,937.185302734375 , 0.6848964095115662)"
070058.jpg,"(178.44342041015625,611.763427734375,278.83514404296875,835.03173828125 , 0.8673985600471497) | (341.7711181640625,909.1617431640625,421.384033203125,1023.3922119140625 , 0.5615564584732056)"
070062.jpg,"(192.45916748046875,622.2994995117188,267.36614990234375,844.6752319335938 , 0.803779661655426)"
070065.jpg,"(748.509033203125,587.261962890625,851.1881103515625,823.607666015625 , 0.4521874487400055)"
070089.jpg,"(745.3070678710938,187.67591857910156,834.2651977539062,393.102294921875 , 0.29251784086227417)"
070108.jpg,"(297.6815185546875,516.593505859375,376.1708984375,756.7005615234375 , 0.5193213224411011)"
070114.jpg,"(589.7939453125,803.3427734375,704.612060546875,1023.331787109375 , 0.8597269654273987) | (94.83968353271484,651.1513671875,195.23312377929688,869.789794921875 , 0.7964845299720764) | (890.41455078125,921.971435546875,957.7264404296875,1001.06982421875 , 0.5409937500953674)"
070116.jpg,"(7.9056243896484375,760.52685546875,93.80543518066406,1023.09033203125 , 0.8462243676185608)"
070124.jpg,"(202.89581298828125,583.072509765625,291.76239013671875,801.5721435546875 , 0.876876711845398)"
070126.jpg,"(139.33023071289062,608.014404296875,230.41171264648438,848.742919921875 , 0.3562120795249939)"
070156.jpg,"(239.04220581054688,555.2272338867188,312.4163513183594,789.8871459960938 , 0.8432521224021912)"
070165.jpg,"(305.39154052734375,500.59307861328125,380.013671875,706.2597045898438 , 0.8533075451850891) | (621.7837524414062,785.1004638671875,722.3832397460938,1022.2418212890625 , 0.6802176237106323) | (611.0023193359375,839.0557861328125,716.4847412109375,1023.2281494140625 , 0.4524363577365875) | (585.3643798828125,932.23193359375,664.9276123046875,1020.3822021484375 , 0.36108288168907166)"
070184.jpg,"(105.60781860351562,677.335205078125,190.63638305664062,899.65771484375 , 0.8584977388381958) | (145.512451171875,620.0429077148438,220.03512573242188,839.2290649414062 , 0.8117181658744812) | (35.91497039794922,644.2333984375,101.0236587524414,865.4736328125 , 0.7917512655258179) | (0.471160888671875,661.1466064453125,72.71568298339844,1020.4713134765625 , 0.4679952561855316)"
070211.jpg,"(265.43353271484375,528.9169921875,363.26434326171875,775.0628662109375 , 0.7457897663116455)"
070236.jpg,"(933.297119140625,549.6617431640625,1042.756591796875,746.8441162109375 , 0.8243242502212524) | (279.17352294921875,564.3248901367188,357.35540771484375,781.6082153320312 , 0.774519145488739) | (341.4945068359375,928.1153564453125,436.8834228515625,1024.0 , 0.688010036945343) | (11.293224334716797,904.12744140625,130.61924743652344,1023.573974609375 , 0.5774312615394592) | (907.2665405273438,905.202392578125,972.6079711914062,976.55078125 , 0.44985952973365784) | (141.64181518554688,535.9248046875,208.89651489257812,738.8187255859375 , 0.2508905827999115)"
070277.jpg,"(893.2510375976562,617.1806640625,1007.7942504882812,807.7547607421875 , 0.7260306477546692) | (469.6485595703125,422.82794189453125,531.926513671875,626.1887817382812 , 0.5355173349380493) | (665.5989990234375,605.706787109375,780.51123046875,741.7333984375 , 0.39384016394615173) | (342.6665954589844,397.890869140625,418.1329040527344,609.7012939453125 , 0.3032239079475403) | (666.7676391601562,605.4195556640625,781.5997924804688,802.6336669921875 , 0.28931480646133423)"
070278.jpg,"(826.7140502929688,399.4552001953125,912.4163208007812,617.86669921875 , 0.8600718975067139) | (749.55810546875,366.88494873046875,815.3880615234375,573.249755859375 , 0.5256530046463013) | (1227.316650390625,841.507568359375,1279.19384765625,922.869140625 , 0.4198877811431885)"
070317.jpg,"(839.63671875,619.0675048828125,906.880126953125,739.0289306640625 , 0.26960813999176025)"
070320.jpg,"(22.141708374023438,957.1700439453125,91.36253356933594,1023.5047607421875 , 0.5947786569595337)"
070329.jpg,"(286.7078857421875,503.0284423828125,388.631103515625,729.662109375 , 0.8597118258476257)"
070356.jpg,"(453.7894287109375,693.6978759765625,523.5474853515625,928.8497314453125 , 0.5141001343727112)"
070367.jpg,"(917.505859375,654.724609375,988.62548828125,731.640869140625 , 0.6643939018249512)"
070376.jpg,"(58.99508285522461,704.213134765625,172.49374389648438,969.467529296875 , 0.8559375405311584) | (278.26336669921875,640.242431640625,374.70245361328125,886.17724609375 , 0.8529351949691772) | (34.33769226074219,677.966552734375,95.73002624511719,879.0128173828125 , 0.36535540223121643) | (156.4228057861328,706.7191162109375,251.6970672607422,944.4542236328125 , 0.26332366466522217)"
070389.jpg,"(367.3670959472656,461.7216491699219,439.9758605957031,694.1435546875 , 0.759872317314148) | (282.0563049316406,508.37542724609375,374.5329284667969,725.7523803710938 , 0.7587727308273315) | (511.3892517089844,310.8236389160156,583.6351318359375,502.1994323730469 , 0.37200927734375) | (238.54531860351562,436.3551025390625,325.4421081542969,689.52490234375 , 0.3489793837070465)"
070401.jpg,"(475.544677734375,563.4888916015625,548.5196533203125,785.6099853515625 , 0.812747597694397)"
070404.jpg,"(217.26217651367188,534.403564453125,306.4070129394531,744.230712890625 , 0.8904635310173035)"
070436.jpg,"(48.62037658691406,744.5758666992188,153.85800170898438,1005.9745483398438 , 0.7014687061309814)"
070441.jpg,"(806.41748046875,205.64125061035156,883.9656982421875,430.626953125 , 0.5722023844718933)"
080003.jpg,"(1042.672607421875,898.368408203125,1131.465087890625,1023.6053466796875 , 0.8934937715530396)"
080200.jpg,"(856.9580078125,756.4874267578125,951.1611328125,1022.2344970703125 , 0.8830166459083557) | (714.5963134765625,693.4132690429688,821.0023193359375,956.3676147460938 , 0.8734957575798035)"
080313.jpg,"(922.872314453125,760.4239501953125,1064.070068359375,970.22705078125 , 0.869080126285553) | (759.723388671875,689.026611328125,851.387939453125,958.447998046875 , 0.8361079096794128)"
080476.jpg,"(719.55859375,669.822265625,807.99755859375,949.2109375 , 0.8361570239067078) | (998.870849609375,786.04345703125,1116.7275390625,1008.220947265625 , 0.6651201248168945)"
080546.jpg,"(689.2093505859375,808.8344116210938,855.5565185546875,971.0595092773438 , 0.8600085973739624) | (323.4009094238281,781.9805908203125,452.6454772949219,1005.8917236328125 , 0.8206722140312195) | (1019.6961059570312,694.40478515625,1107.992431640625,931.031982421875 , 0.8177143931388855) | (528.5413818359375,785.8825073242188,658.5125732421875,1022.5308227539062 , 0.674526035785675)"
080600.jpg,"(837.4234008789062,570.61572265625,942.1383666992188,837.58935546875 , 0.8937215209007263)"
080612.jpg,"(1028.13330078125,776.618408203125,1153.34521484375,1012.473388671875 , 0.6445888876914978) | (1075.564208984375,772.018310546875,1117.116455078125,850.9957275390625 , 0.5508533716201782) | (707.53857421875,635.7391967773438,838.784423828125,897.6871948242188 , 0.5132896304130554) | (927.4620361328125,755.5440673828125,1032.7081298828125,960.774169921875 , 0.45160627365112305) | (713.39306640625,636.0030517578125,836.1680908203125,780.4544677734375 , 0.2549251914024353)"
080675.jpg,"(970.6085205078125,773.552490234375,1091.6429443359375,956.7275390625 , 0.8694228529930115) | (1211.05712890625,660.4231567382812,1279.4404296875,919.3640747070312 , 0.8368728160858154) | (1073.796142578125,359.40484619140625,1174.609619140625,603.3064575195312 , 0.669342041015625)"
080688.jpg,"(1078.38330078125,894.4204711914062,1166.4765625,1023.6401977539062 , 0.8893272876739502)"
